team,seed,region,R64,R32,S16,E8,F4,Champ,champ_pct
Duke,1,West,0.9976,0.9108,0.8095,0.6823,0.494,0.3277,0.3277
Houston,1,Midwest,0.9951,0.8872,0.7153,0.5391,0.3493,0.1908,0.1908
Florida,1,South,0.997,0.8629,0.6677,0.5119,0.2542,0.1408,0.1408
Auburn,1,East,0.9956,0.7684,0.6338,0.4551,0.263,0.1374,0.1374
Alabama,2,East,0.9854,0.7987,0.5674,0.266,0.1219,0.0484,0.0484
Tennessee,2,Midwest,0.9835,0.7751,0.4928,0.1973,0.0919,0.0359,0.0359
Texas Tech,3,West,0.9523,0.6532,0.4133,0.1185,0.0548,0.019,0.019
Michigan State,2,South,0.9745,0.6604,0.3802,0.1393,0.0429,0.0152,0.0152
Maryland,4,Midwest,0.9503,0.7709,0.2204,0.1079,0.0403,0.0124,0.0124
Arizona,4,South,0.9167,0.6719,0.2226,0.1252,0.039,0.0112,0.0112
Iowa State,3,Midwest,0.9521,0.6291,0.2978,0.0963,0.0373,0.011,0.011
Gonzaga,8,East,0.7585,0.2061,0.1297,0.066,0.0241,0.0078,0.0078
Kentucky,3,South,0.971,0.5595,0.2788,0.0874,0.0228,0.0069,0.0069
St. John's,2,West,0.966,0.6009,0.285,0.0641,0.0232,0.0062,0.0062
Wisconsin,3,East,0.9477,0.6379,0.2606,0.0845,0.0257,0.0059,0.0059
Purdue,4,East,0.9235,0.5899,0.1487,0.063,0.0191,0.0036,0.0036
Illinois,6,South,0.7137,0.3563,0.1683,0.0516,0.0122,0.0031,0.0031
BYU,6,West,0.8071,0.3129,0.1523,0.0323,0.0107,0.0022,0.0022
Kansas,7,South,0.7043,0.274,0.1321,0.0366,0.0092,0.0017,0.0017
Texas A&M,4,West,0.8911,0.4977,0.0784,0.0349,0.0099,0.0017,0.0017
Michigan,5,West,0.8463,0.4503,0.0688,0.0277,0.007,0.0016,0.0016
Missouri,6,Midwest,0.7664,0.3203,0.1208,0.0264,0.0068,0.0016,0.0016
Clemson,5,East,0.7996,0.3629,0.0755,0.0276,0.0062,0.0014,0.0014
Mississippi,6,East,0.6025,0.2369,0.0711,0.0159,0.0033,0.0012,0.0012
UCLA,7,West,0.6361,0.2797,0.1093,0.0212,0.0062,0.0011,0.0011
Baylor,9,West,0.5616,0.0544,0.0268,0.009,0.0031,0.0007,0.0007
Oregon,5,South,0.664,0.2372,0.0476,0.0168,0.0032,0.0007,0.0007
Saint Mary's,7,Midwest,0.6857,0.1771,0.0675,0.0139,0.0034,0.0006,0.0006
Louisville,8,South,0.6474,0.1042,0.045,0.02,0.0034,0.0006,0.0006
VCU,11,East,0.3975,0.1194,0.0269,0.0046,0.0009,0.0003,0.0003
UConn,8,Midwest,0.5415,0.0641,0.0256,0.0076,0.0015,0.0003,0.0003
Mississippi State,8,West,0.4384,0.0348,0.0142,0.005,0.0014,0.0002,0.0002
Arkansas,10,West,0.3639,0.1174,0.0341,0.0047,0.0008,0.0002,0.0002
Marquette,7,East,0.6257,0.1395,0.0549,0.012,0.0026,0.0002,0.0002
UC San Diego,12,South,0.336,0.0754,0.0074,0.0016,0.0004,0.0001,0.0001
Utah State,10,Midwest,0.3143,0.0472,0.0113,0.0011,0.0005,0.0001,0.0001
San Diego State,11,Midwest,0.2336,0.0451,0.0096,0.001,0.0001,0.0001,0.0001
Creighton,9,Midwest,0.4585,0.0486,0.0167,0.0045,0.001,0.0001,0.0001
Wofford,15,East,0.0146,0.0009,0.0,0.0,0.0,0.0,0.0
Robert Morris,15,South,0.0255,0.0017,0.0,0.0,0.0,0.0,0.0
UNC Wilmington,14,East,0.0523,0.0058,0.0001,0.0,0.0,0.0,0.0
Troy,14,Midwest,0.0479,0.0055,0.0002,0.0001,0.0,0.0,0.0
Xavier,11,South,0.2863,0.0828,0.0216,0.0036,0.0007,0.0,0.0
SIUE,16,East,0.0044,0.0001,0.0,0.0,0.0,0.0,0.0
Vanderbilt,10,South,0.2957,0.0639,0.019,0.0036,0.0002,0.0,0.0
Saint Francis,16,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Texas,11,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Akron,13,Midwest,0.0497,0.0098,0.0003,0.0,0.0,0.0,0.0
Oklahoma,9,South,0.3526,0.0329,0.0089,0.0022,0.0006,0.0,0.0
North Carolina,11,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama State,16,South,0.003,0.0,0.0,0.0,0.0,0.0,0.0
American,16,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryant,15,Midwest,0.0165,0.0006,0.0,0.0,0.0,0.0,0.0
Colorado State,12,Midwest,0.5661,0.1381,0.0144,0.0029,0.0004,0.0,0.0
Drake,11,West,0.1929,0.028,0.0056,0.0002,0.0,0.0,0.0
Georgia,9,East,0.2415,0.0254,0.0094,0.0025,0.0004,0.0,0.0
Grand Canyon,13,East,0.0765,0.0101,0.0005,0.0001,0.0,0.0,0.0
High Point,13,West,0.1089,0.0182,0.0008,0.0,0.0,0.0,0.0
Liberty,12,West,0.1537,0.0338,0.0015,0.0001,0.0,0.0,0.0
Lipscomb,14,West,0.0477,0.0059,0.0004,0.0,0.0,0.0,0.0
McNeese,12,East,0.2004,0.0371,0.0024,0.0001,0.0,0.0,0.0
Memphis,5,Midwest,0.4339,0.0812,0.0073,0.0019,0.0001,0.0,0.0
Montana,14,South,0.029,0.0014,0.0,0.0,0.0,0.0,0.0
Mount St. Mary's,16,West,0.0024,0.0,0.0,0.0,0.0,0.0,0.0
Nebraska Omaha,15,West,0.034,0.002,0.0,0.0,0.0,0.0,0.0
New Mexico,10,East,0.3743,0.0609,0.019,0.0026,0.0002,0.0,0.0
Norfolk State,16,Midwest,0.0049,0.0001,0.0,0.0,0.0,0.0,0.0
Yale,13,South,0.0833,0.0155,0.0008,0.0002,0.0001,0.0,0.0
