team,barttorvik_adj_em,season
SEC,-7,2012
B10,4,2012
B10,17,2012
B12,18,2012
ACC,1,2012
BE,-12,2012
B10,11,2012
B12,-128,2012
MVC,-14,2012
SEC,-77,2012
B10,-84,2012
SEC,-16,2012
CUSA,8,2012
BE,25,2012
A10,23,2012
BE,117,2012
B12,-31,2012
ACC,-52,2012
MWC,33,2012
BE,27,2012
ACC,64,2012
BE,29,2012
WCC,-14,2012
B10,-46,2012
B10,-101,2012
B12,-34,2012
SEC,114,2012
B12,39,2012
ACC,129,2012
MWC,41,2012
A10,-48,2012
P12,67,2012
P12,19,2012
ASun,-121,2012
ACC,-37,2012
BE,-6,2012
CAA,66,2012
MVC,-195,2012
BE,146,2012
A10,-47,2012
Ivy,34,2012
OVC,67,2012
B12,-44,2012
A10,45,2012
BE,-39,2012
CAA,-11,2012
ACC,-34,2012
BE,-129,2012
BW,6,2012
B10,14,2012
WCC,-80,2012
P12,-155,2012
MAC,59,2012
P12,28,2012
SB,28,2012
BE,-20,2012
SEC,61,2012
A10,-57,2012
P12,-13,2012
A10,15,2012
WCC,98,2012
B10,-187,2012
SC,-89,2012
BE,73,2012
Sum,-116,2012
SEC,-110,2012
P12,94,2012
MAAC,-181,2012
P12,41,2012
A10,-132,2012
MWC,54,2012
SB,-66,2012
CUSA,-96,2012
A10,41,2012
BE,-46,2012
MWC,166,2012
P12,-99,2012
B10,103,2012
SEC,57,2012
ACC,70,2012
B10,-149,2012
WAC,-15,2012
ACC,0,2012
CAA,152,2012
P12,-88,2012
B12,22,2012
MWC,-142,2012
Pat,-20,2012
MVC,36,2012
SEC,159,2012
MAC,-9,2012
CUSA,-81,2012
Horz,72,2012
MVC,60,2012
MVC,-66,2012
ASun,76,2012
A10,-94,2012
CUSA,-2,2012
CUSA,15,2012
CAA,153,2012
SEC,71,2012
NEC,51,2012
Sum,-143,2012
Ivy,-37,2012
Pat,9,2012
MAAC,177,2012
BSky,113,2012
B12,-30,2012
ACC,-65,2012
MAC,-33,2012
BW,-161,2012
WAC,8,2012
Horz,218,2012
SEC,-65,2012
CAA,64,2012
B12,158,2012
A10,-76,2012
Horz,-37,2012
MVC,-157,2012
BE,-163,2012
Horz,-95,2012
WAC,-97,2012
Slnd,20,2012
BSky,-173,2012
BE,109,2012
Horz,129,2012
SEC,187,2012
AE,22,2012
BSth,-146,2012
MAC,-2,2012
Slnd,-64,2012
ASun,103,2012
Ivy,35,2012
MAC,28,2012
MAAC,23,2012
MVC,108,2012
NEC,-18,2012
B10,91,2012
BE,-174,2012
CUSA,136,2012
BE,-32,2012
ASun,67,2012
CUSA,6,2012
MAAC,69,2012
Sum,-291,2012
MVC,148,2012
WCC,92,2012
A10,123,2012
CUSA,104,2012
Pat,55,2012
NEC,-16,2012
CUSA,114,2012
MWC,-58,2012
WCC,-191,2012
MWC,-132,2012
SC,38,2012
B10,38,2012
Slnd,226,2012
NEC,-214,2012
SEC,-9,2012
AE,10,2012
CAA,-39,2012
MEAC,246,2012
WAC,-130,2012
Horz,-124,2012
Sum,-155,2012
CUSA,-142,2012
BW,-83,2012
ACC,175,2012
Ivy,92,2012
SB,160,2012
BW,-207,2012
SB,103,2012
MAC,-119,2012
MAC,-44,2012
Sum,188,2012
Slnd,-54,2012
MAC,-96,2012
WAC,-5,2012
A10,16,2012
Horz,27,2012
ACC,-63,2012
WAC,37,2012
CUSA,100,2012
Ivy,-31,2012
OVC,73,2012
MEAC,53,2012
ASun,-43,2012
SB,143,2012
MWC,72,2012
CAA,39,2012
NEC,145,2012
Sum,-227,2012
WCC,-55,2012
BSth,-59,2012
SB,-5,2012
BSth,-87,2012
MAC,25,2012
SB,239,2012
ASun,-131,2012
AE,-246,2012
OVC,-60,2012
CUSA,155,2012
SC,-19,2012
AE,103,2012
SB,-84,2012
A10,-106,2012
BSky,-224,2012
Pat,69,2012
OVC,83,2012
NEC,31,2012
ind,57,2012
CAA,48,2012
Ivy,115,2012
WAC,-112,2012
MVC,45,2012
ind,-70,2012
MAAC,-129,2012
BSky,-21,2012
SB,-14,2012
ASun,1,2012
MEAC,121,2012
ACC,123,2012
P12,-10,2012
OVC,44,2012
Horz,193,2012
NEC,-96,2012
SC,-72,2012
SC,54,2012
CAA,-29,2012
Slnd,111,2012
ASun,-77,2012
B12,166,2012
BSth,-204,2012
OVC,-185,2012
MAAC,92,2012
CAA,-92,2012
SB,17,2012
Sum,51,2012
OVC,-65,2012
P12,287,2012
SC,41,2012
GWC,44,2012
Slnd,-61,2012
Pat,-205,2012
ASun,-16,2012
MEAC,-23,2012
MAAC,-9,2012
BSth,-126,2012
GWC,94,2012
BSth,-120,2012
MAAC,-145,2012
BSky,-195,2012
MEAC,-101,2012
WCC,-188,2012
SC,-54,2012
BSth,120,2012
Sum,-19,2012
MEAC,-139,2012
BSth,92,2012
SB,-212,2012
A10,96,2012
BSth,-133,2012
BW,-5,2012
BW,39,2012
MVC,134,2012
SC,62,2012
Slnd,-62,2012
SWAC,65,2012
SC,-156,2012
SC,-15,2012
MAC,24,2012
WCC,-31,2012
BSth,-114,2012
SC,5,2012
Sum,-77,2012
MAC,211,2012
Sum,-68,2012
MEAC,154,2012
BW,218,2012
MEAC,-237,2012
OVC,-92,2012
GWC,-28,2012
AE,28,2012
BSky,-61,2012
WAC,-55,2012
AE,148,2012
Slnd,217,2012
NEC,-13,2012
Horz,32,2012
WCC,52,2012
Horz,-28,2012
MEAC,46,2012
CAA,-41,2012
BSky,-8,2012
NEC,71,2012
P12,74,2012
Ivy,131,2012
Pat,70,2012
SWAC,128,2012
Slnd,244,2012
BSky,-54,2012
BW,-84,2012
AE,90,2012
OVC,-34,2012
NEC,-9,2012
BSth,99,2012
OVC,-19,2012
Ivy,-8,2012
MEAC,68,2012
Pat,-86,2012
ASun,-67,2012
MAAC,-48,2012
GWC,15,2012
MAAC,96,2012
MAC,41,2012
GWC,6,2012
SB,-44,2012
Slnd,83,2012
MEAC,7,2012
SC,22,2012
SWAC,70,2012
BW,-17,2012
Slnd,-106,2012
Slnd,0,2012
Pat,35,2012
SWAC,101,2012
ind,-60,2012
SWAC,-14,2012
SWAC,149,2012
SWAC,52,2012
GWC,54,2012
OVC,-37,2012
NEC,-37,2012
MEAC,89,2012
CAA,48,2012
NEC,52,2012
AE,-16,2012
SWAC,2,2012
ind,-80,2012
BSky,-4,2012
SWAC,41,2012
MEAC,-27,2012
AE,12,2012
SWAC,3,2012
