season,mean,std,n
2025,18.32838057142857,10.023614705855461,63
2024,14.422659448529412,9.789334958348757,68
2023,14.86063392063492,8.365796880999463,63
2022,14.89223703076923,8.131004926801296,65
2021,15.917246969696972,9.165891684252836,66
2019,15.239727461538463,9.909251835184133,65
2018,15.252803791935484,8.776425342720836,62
2017,15.769553109375,9.593085915257697,64
2016,14.31377984375,9.619300913363864,64
2015,15.238713287878788,9.709050720638277,66
2014,15.405320646153843,8.741888973395225,65
2013,15.761479968253969,8.491725346022875,63
2012,16.014444444444443,6.829692708394903,63
2011,15.406563523076924,8.81759913399613,65
2010,16.934899816666668,8.008268316689964,60
2009,16.01531375,8.29387704189052,60
2008,15.8120062,9.046858440559463,60
2007,15.900986999999999,8.812002817552905,60
2006,15.085472655737703,7.201543039793456,61
2005,14.953442903225804,9.392423433235045,62
2004,14.643564919354839,9.686326941393522,62
2003,15.516727118644067,8.15343874220904,59
2002,14.738884932203389,8.88257071763465,59
